"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
Liebesleid (Love's Sorrow),Fritz Kreisler,52,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",0.331,0.169,9,-19.859,1,0.0325,0.994,0.886,0.121,0.258,97.836
"Piano Concerto No. 3 in D Minor, Op. 30: I. Allegro",Sergei Rachmaninoff,51,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",0.233,0.168,10,-21.091,1,0.0341,0.976,0.9,0.105,0.0635,69.013
"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile",Sergei Rachmaninoff,49,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316
"Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato",Sergei Rachmaninoff,51,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",0.124,0.106,0,-22.245,0,0.0394,0.972,0.919,0.0802,0.0456,78.658
"Symphonie fantastique, Op. 14: Symphonie fantastique, Op. 14: IV. Marche au supplice",Hector Berlioz,50,"['classical', 'early modern classical']",0.356,0.207,10,-17.76,1,0.0388,0.95,0.914,0.0802,0.328,146.755
"L'Enfance du Christ, Op.25 - English Version: The Shepherd's Farewell",Hector Berlioz,37,"['classical', 'early modern classical']",0.142,0.133,4,-25.049,1,0.0498,0.965,0.876,0.295,0.0499,73.332
"Symphonie fantastique, Op. 14, H 48: I. Rêveries - Passions",Hector Berlioz,33,"['classical', 'early modern classical']",0.201,0.0425,0,-25.611,1,0.043,0.649,0.349,0.0884,0.0543,139.396
The Shepherds' Farewell,Hector Berlioz,33,"['classical', 'early modern classical']",0.178,0.115,4,-24.782,1,0.0424,0.97,0.877,0.174,0.0529,138.135
"Symphonie fantastique, Op. 14, H 48: V. Songe d'une nuit de sabbat",Hector Berlioz,32,"['classical', 'early modern classical']",0.289,0.0658,0,-26.073,0,0.0539,0.692,0.637,0.258,0.102,59.963
Gnossienne No.1,Erkan Oğur,49,"['turkish folk', 'turkish jazz', 'turkish rock']",0.481,0.094,5,-16.637,0,0.0463,0.986,0.757,0.108,0.143,72.465
Sen Benden Gittin Gideli,Erkan Oğur,46,"['turkish folk', 'turkish jazz', 'turkish rock']",0.654,0.225,4,-16.401,0,0.0282,0.906,0.184,0.11,0.27,87.979
Bülbülüm Altın Kafeste,Erkan Oğur,44,"['turkish folk', 'turkish jazz', 'turkish rock']",0.544,0.368,5,-9.671,1,0.0403,0.91,0.00198,0.119,0.401,117.395
Zülfü Kaküllerin Amber Misali,Erkan Oğur,44,"['turkish folk', 'turkish jazz', 'turkish rock']",0.609,0.149,3,-8.515,1,0.0823,0.987,0,0.103,0.384,112.866
Zahit Bizi Tan Eyleme,Erkan Oğur,44,"['turkish folk', 'turkish jazz', 'turkish rock']",0.353,0.295,9,-12.211,0,0.0627,0.744,5.4e-05,0.321,0.404,96.038
Elif'e Ninni,Erkan Oğur,34,"['turkish classical', 'turkish jazz']",0.432,0.102,10,-18.376,1,0.0413,0.967,0.912,0.123,0.208,80.708
Naci Derler,Erkan Oğur,33,"['turkish classical', 'turkish jazz']",0.331,0.115,2,-16.755,0,0.058,0.982,0.129,0.111,0.242,171.28
Gül Mevsimi,Erkan Oğur,29,"['turkish classical', 'turkish jazz']",0.497,0.0611,2,-20.752,0,0.0389,0.971,0.917,0.117,0.131,78.379
Dokunmak,Erkan Oğur,29,"['turkish classical', 'turkish jazz']",0.449,0.0817,9,-21.022,0,0.0403,0.948,0.867,0.133,0.274,97.241
