zipcodes_rotterdam$city,zipcodes_rotterdam$zip,lon,lat
ROTTERDAM,3000CG,4.4777326,51.9244201
ROTTERDAM,3023GH,4.4492711,51.9146392
ROTTERDAM,3062KK,4.5113005,51.92242570000001
ROTTERDAM,3023 BA,4.456820899999999,51.9087307
ROTTERDAM,3071MA,4.501213799999999,51.9068176
ROTTERDAM,3012EH,4.4760294,51.922571
ROTTERDAM,3052VE,4.4777326,51.9244201
ROTTERDAM,3011VR,4.4952812,51.920903
ROTTERDAM,3006AD,4.4777326,51.9244201
ROTTERDAM,3012BN,4.4756103,51.91527790000001
ROTTERDAM,3012LA,4.4734436,51.9167532
ROTTERDAM,3039NA,4.4665934,51.9311357
ROTTERDAM,3054BM,4.492403900000001,51.955164
ROTTERDAM,3065HD,4.5535448,51.9280002
ROTTERDAM,3051SK,4.4717666,51.9448479
ROTTERDAM,3039DW,4.4551571,51.931495
ROTTERDAM,3011MD,4.4895647,51.9203471
ROTTERDAM,3012VD,4.4779071,51.9138305
ROTTERDAM,3024CN,4.4590451,51.9058808
ROTTERDAM,3039 VJ,4.455195,51.9324751
ROTTERDAM,3021RB,4.4577899,51.9209091
ROTTERDAM,3024VG,4.4549688,51.9069362
ROTTERDAM,3083CN,4.491452,51.8891076
ROTTERDAM,3011TC,4.4965085,51.9198606
ROTTERDAM,3086EX,4.4679194,51.8748494
ROTTERDAM,3069 NK,4.5480076,51.97069279999999
ROTTERDAM,3063HD,4.519118,51.9113287
ROTTERDAM,3078 PH,4.544582,51.8880355
ROTTERDAM,3066JB,4.5438714,51.9336839
ROTTERDAM,3083PJ,4.4824381,51.88947
ROTTERDAM,3012BB,4.478471,51.9139787
ROTTERDAM,3011PV,4.4847756,51.92066999999999
ROTTERDAM,3031VE,4.4919671,51.9289137
ROTTERDAM,3073KR,4.5088382,51.8936973
ROTTERDAM,3079 NE,4.548443199999999,51.88351489999999
ROTTERDAM,3000AV,4.4777326,51.9244201
ROTTERDAM,3011ZX,4.4918023,51.9225934
ROTTERDAM,3000KP,4.4777326,51.9244201
ROTTERDAM,3076CK,4.5216128,51.8813967
ROTTERDAM,3037GB,4.4694164,51.93601169999999
ROTTERDAM,3034 CB,4.4970323,51.9301117
ROTTERDAM,3061EM,4.5072106,51.9278692
ROTTERDAM,3065JB,4.542149,51.9270739
ROTTERDAM,3054SG,4.4777326,51.9244201
ROTTERDAM,3055JJ,4.5039885,51.9601234
ROTTERDAM,3068ZE,4.5357487,51.9594588
ROTTERDAM,3039SK,4.4590109,51.9321727
ROTTERDAM,3078KC,4.549581300000001,51.8910376
ROTTERDAM,3069GB,4.5436346,51.9633268
ROTTERDAM,3061DW,4.5029072,51.9300751
ROTTERDAM,3037LG,4.4728601,51.9390048
ROTTERDAM,3031AX,4.4866626,51.9258889
ROTTERDAM,3074HW,4.5174542,51.8929075
ROTTERDAM,3078XW,4.5328877,51.8911241
ROTTERDAM,3053SJ,4.4681275,51.9549408
ROTTERDAM,3034TJ,4.4920201,51.9372017
ROTTERDAM,3039AP,4.4657353,51.9290166
ROTTERDAM,3029BP,4.4301097,51.9066375
ROTTERDAM,3072RM,4.508066599999999,51.89972299999999
ROTTERDAM,3034TS,4.4927711,51.93673099999999
ROTTERDAM,3012BE,4.4798444,51.9165062
ROTTERDAM,3079ZR,4.5591756,51.881227
ROTTERDAM,3067 RP,4.565021,51.94204939999999
ROTTERDAM,3028XM,4.4186168,51.9186692
ROTTERDAM,3023TB,4.4529857,51.91424629999999
ROTTERDAM,3053VV,4.4710214,51.95713869999999
ROTTERDAM,3073CH,4.4969256,51.8921964
ROTTERDAM,3039 XN,4.4591656,51.9267986
ROTTERDAM,3031RB,4.4936345,51.9247646
ROTTERDAM,3034HG,4.4929384,51.9312491
ROTTERDAM,3011JG,4.4831403,51.9224641
ROTTERDAM,3069EE,4.5512299999999994,51.9656731
ROTTERDAM,3063SG,4.5226101,51.9111207
ROTTERDAM,3081VT,4.4773139,51.8928731
ROTTERDAM,3038CR,4.464343899999999,51.93305059999999
ROTTERDAM,3078TM,4.5543102,51.8906307
ROTTERDAM,3038AA,4.470064499999999,51.93133359999999
ROTTERDAM,3069DR,4.5325294,51.96500839999999
ROTTERDAM,3026CN,4.4412478,51.9132535
ROTTERDAM,3021LL,4.4603126,51.9155987
ROTTERDAM,3027XX,4.4369915,51.9200147
ROTTERDAM,3054EP,4.4893921,51.9580893
ROTTERDAM,3038SL,4.4644826,51.9369169
ROTTERDAM,3078JK,4.542902799999999,51.89313809999999
ROTTERDAM,3067RN,4.5641096,51.9425823
ROTTERDAM,3071LC,4.4901312,51.9109043
ROTTERDAM,3023VE,4.4531790000000004,51.9126389
ROTTERDAM,3063EA,4.5070483,51.9205692
ROTTERDAM,3077WE,4.5416114,51.8984681
ROTTERDAM,3039ZG,4.4627352,51.9285526
ROTTERDAM,3065 JG,4.5429194,51.9278525
ROTTERDAM,3051XB,4.4667255,51.9459771
ROTTERDAM,3011HT,4.4841235,51.9220133
