id,namenl,subtitlenl,subtitle2nl,startts,locationid,Klassiek,Populair,Operacursus,Muziekcursus,Familieconcert,Pop_jazz_and_beyond,Mezzo-middag,Pop_Classics,Muziektheater,Jazz,Doelenmenu
46293,Schilderijententoonstelling,Rotterdams Philharmonisch Orkest,,2020-02-06 20:15:00,10135,0,0,0,0,0,0,0,0,0,0,0
46836,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-07 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46292,Schilderijententoonstelling,Rotterdams Philharmonisch Orkest,,2020-02-07 20:15:00,10135,0,0,0,0,0,0,0,0,0,0,0
47054,Half Easy Trio & ALEXANDER,Club Doelen / Jazz International Rotterdam,,2020-02-07 20:30:00,10141,0,0,0,0,0,0,0,0,0,1,0
46837,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-08 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46672,"Codarts Dans, Maarten van Veen, Ton Simons",Songs of the universe,,2019-12-02 20:15:00,10135,1,0,0,0,0,0,0,0,0,0,0
47056,Many Faces of Love,An exploration of Hindu Mythology,,2020-02-08 20:30:00,10141,0,0,0,0,0,1,0,0,0,0,0
47033,DEELDER 75,,,2019-11-24 21:00:00,10135,0,1,0,0,0,0,0,0,0,0,0
46332,Maria Milstein - viool & Nathalia Milstein - piano,Sonates van Beethoven en Grieg,,2020-02-09 11:00:00,10137,0,0,0,0,0,0,0,0,0,0,0
46416,Hanne Kuhlmann - Laurensorgels,Hilsener fra Danmark,,2020-02-09 15:00:00,10134,0,0,0,0,0,0,0,0,0,0,0
46838,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-09 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46839,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-10 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46840,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-11 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46584,"Messiah, G.F. Händel",door COV Sursum Corda,,2019-12-18 19:30:00,10135,1,0,0,0,0,0,0,0,0,0,0
46841,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-12 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46842,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-13 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46843,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-14 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46373,Nederlandse Bachvereniging,Concerto supergrosso - spectaculaire barokmuziek,,2020-02-14 20:15:00,10135,0,0,0,0,0,0,0,0,0,0,0
47052,Homay and Mastan Live In Concert,,,2020-02-14 20:30:00,10146,0,0,0,0,0,1,0,0,0,0,0
47072,Antoine Pierre URBEX ELECTRIC,Variations on Bitches Brew,,2020-02-14 20:30:00,10141,0,0,0,0,0,0,0,0,0,1,0
46844,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-15 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46557,Eliane Rodrigues,Chopin meets Debussy,,2019-12-26 15:00:00,10137,1,0,0,0,0,0,0,0,0,0,0
46636,Carel Kraayenhof en Juan Pablo Dobal,Dwaze Tijd - Tiempo loco,,2020-02-15 20:15:00,10137,0,0,0,0,0,1,0,0,0,0,0
46620,Finale Prinses Christina Concours West 1 2019,,,2020-02-16 14:00:00,10137,0,0,0,0,0,0,0,0,0,0,0
46291,Yannick dirigeert Mahler 5,Rotterdams Philharmonisch Orkest,,2020-02-16 14:15:00,10135,0,0,0,0,0,0,0,0,0,0,0
46845,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-16 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46846,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-17 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46847,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-18 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46398,Jerusalem Quartet,"Mozart, Beethoven & Korngold",,2020-02-18 20:15:00,10137,0,0,0,0,0,0,0,0,0,0,0
46985,Eindejaarsconcert 27-12-2019 middag – Reformatiekoor,Peter Wildeman-Joost van Belzen-Orkest,,2019-12-27 13:30:00,10135,1,0,0,0,0,0,0,0,0,0,0
46848,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-19 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46849,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-20 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46850,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-21 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46986,HJK 10 & Groot MK - Eindejaars- en Jubileumconcert,o.l.v. P. Wildeman en J. van Belzen e.v.a.,,2019-12-27 19:30:00,10135,1,0,0,0,0,0,0,0,0,0,0
47066,Ottla,Kafkaeske Jazz door Belgisch top sextet,,2020-02-21 20:30:00,10141,0,0,0,0,0,1,0,0,0,1,0
46851,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-22 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
